 ------------------------------------------- ---------- -------- ------ ---------------------------------------------------- 
  Name                                        Method     Scheme   Host   Path
 ------------------------------------------- ---------- -------- ------ ---------------------------------------------------- 
  _assetic_2b3815c                            ANY        ANY      ANY    /css/2b3815c.css                                    
  _assetic_2b3815c_0                          ANY        ANY      ANY    /css/2b3815c_style_1.css                            
  _assetic_0384b19                            ANY        ANY      ANY    /js/0384b19.js                                      
  _assetic_0384b19_0                          ANY        ANY      ANY    /js/0384b19_main_1.js                               
  _assetic_ac74def                            ANY        ANY      ANY    /css/ac74def.css                                    
  _assetic_ac74def_0                          ANY        ANY      ANY    /css/ac74def_style_1.css                            
  _assetic_ac74def_1                          ANY        ANY      ANY    /css/ac74def_style-table_2.css                      
  _assetic_3284fad                            ANY        ANY      ANY    /css/3284fad.css                                    
  _assetic_3284fad_0                          ANY        ANY      ANY    /css/3284fad_style_counter_1.css                    
  _assetic_3284fad_1                          ANY        ANY      ANY    /css/3284fad_datepick_2.css                         
  _assetic_2cf3c35                            ANY        ANY      ANY    /js/2cf3c35.js                                      
  _assetic_2cf3c35_0                          ANY        ANY      ANY    /js/2cf3c35_jquery.plugin_1.js                      
  _assetic_2cf3c35_1                          ANY        ANY      ANY    /js/2cf3c35_jquery.datepick_2.js                    
  _wdt                                        ANY        ANY      ANY    /_wdt/{token}                                       
  _profiler_home                              ANY        ANY      ANY    /_profiler/                                         
  _profiler_search                            ANY        ANY      ANY    /_profiler/search                                   
  _profiler_search_bar                        ANY        ANY      ANY    /_profiler/search_bar                               
  _profiler_info                              ANY        ANY      ANY    /_profiler/info/{about}                             
  _profiler_phpinfo                           ANY        ANY      ANY    /_profiler/phpinfo                                  
  _profiler_search_results                    ANY        ANY      ANY    /_profiler/{token}/search/results                   
  _profiler_open_file                         ANY        ANY      ANY    /_profiler/open                                     
  _profiler                                   ANY        ANY      ANY    /_profiler/{token}                                  
  _profiler_router                            ANY        ANY      ANY    /_profiler/{token}/router                           
  _profiler_exception                         ANY        ANY      ANY    /_profiler/{token}/exception                        
  _profiler_exception_css                     ANY        ANY      ANY    /_profiler/{token}/exception.css                    
  _twig_error_test                            ANY        ANY      ANY    /_error/{code}.{_format}                            
  sonata_admin_redirect                       ANY        ANY      ANY    /admin/                                             
  sonata_admin_dashboard                      ANY        ANY      ANY    /admin/dashboard                                    
  sonata_admin_retrieve_form_element          ANY        ANY      ANY    /admin/core/get-form-field-element                  
  sonata_admin_append_form_element            ANY        ANY      ANY    /admin/core/append-form-field-element               
  sonata_admin_short_object_information       ANY        ANY      ANY    /admin/core/get-short-object-description.{_format}  
  sonata_admin_set_object_field_value         ANY        ANY      ANY    /admin/core/set-object-field-value                  
  sonata_admin_search                         ANY        ANY      ANY    /admin/search                                       
  sonata_admin_retrieve_autocomplete_items    ANY        ANY      ANY    /admin/core/get-autocomplete-items                  
  admin_app_cliente_list                      ANY        ANY      ANY    /admin/app/cliente/list                             
  admin_app_cliente_create                    ANY        ANY      ANY    /admin/app/cliente/create                           
  admin_app_cliente_batch                     ANY        ANY      ANY    /admin/app/cliente/batch                            
  admin_app_cliente_edit                      ANY        ANY      ANY    /admin/app/cliente/{id}/edit                        
  admin_app_cliente_delete                    ANY        ANY      ANY    /admin/app/cliente/{id}/delete                      
  admin_app_cliente_show                      ANY        ANY      ANY    /admin/app/cliente/{id}/show                        
  admin_app_cliente_export                    ANY        ANY      ANY    /admin/app/cliente/export                           
  admin_app_fornitori_list                    ANY        ANY      ANY    /admin/app/fornitori/list                           
  admin_app_fornitori_create                  ANY        ANY      ANY    /admin/app/fornitori/create                         
  admin_app_fornitori_batch                   ANY        ANY      ANY    /admin/app/fornitori/batch                          
  admin_app_fornitori_edit                    ANY        ANY      ANY    /admin/app/fornitori/{id}/edit                      
  admin_app_fornitori_delete                  ANY        ANY      ANY    /admin/app/fornitori/{id}/delete                    
  admin_app_fornitori_show                    ANY        ANY      ANY    /admin/app/fornitori/{id}/show                      
  admin_app_fornitori_export                  ANY        ANY      ANY    /admin/app/fornitori/export                         
  admin_app_affiliati_list                    ANY        ANY      ANY    /admin/app/affiliati/list                           
  admin_app_affiliati_create                  ANY        ANY      ANY    /admin/app/affiliati/create                         
  admin_app_affiliati_batch                   ANY        ANY      ANY    /admin/app/affiliati/batch                          
  admin_app_affiliati_edit                    ANY        ANY      ANY    /admin/app/affiliati/{id}/edit                      
  admin_app_affiliati_delete                  ANY        ANY      ANY    /admin/app/affiliati/{id}/delete                    
  admin_app_affiliati_show                    ANY        ANY      ANY    /admin/app/affiliati/{id}/show                      
  admin_app_affiliati_export                  ANY        ANY      ANY    /admin/app/affiliati/export                         
  admin_app_user_list                         ANY        ANY      ANY    /admin/app/user/list                                
  admin_app_user_create                       ANY        ANY      ANY    /admin/app/user/create                              
  admin_app_user_batch                        ANY        ANY      ANY    /admin/app/user/batch                               
  admin_app_user_edit                         ANY        ANY      ANY    /admin/app/user/{id}/edit                           
  admin_app_user_delete                       ANY        ANY      ANY    /admin/app/user/{id}/delete                         
  admin_app_user_show                         ANY        ANY      ANY    /admin/app/user/{id}/show                           
  admin_app_user_export                       ANY        ANY      ANY    /admin/app/user/export                              
  admin_app_landing_list                      ANY        ANY      ANY    /admin/app/landing/list                             
  admin_app_landing_create                    ANY        ANY      ANY    /admin/app/landing/create                           
  admin_app_landing_batch                     ANY        ANY      ANY    /admin/app/landing/batch                            
  admin_app_landing_edit                      ANY        ANY      ANY    /admin/app/landing/{id}/edit                        
  admin_app_landing_delete                    ANY        ANY      ANY    /admin/app/landing/{id}/delete                      
  admin_app_landing_show                      ANY        ANY      ANY    /admin/app/landing/{id}/show                        
  admin_app_landing_export                    ANY        ANY      ANY    /admin/app/landing/export                           
  admin_app_domini_list                       ANY        ANY      ANY    /admin/app/domini/list                              
  admin_app_domini_create                     ANY        ANY      ANY    /admin/app/domini/create                            
  admin_app_domini_batch                      ANY        ANY      ANY    /admin/app/domini/batch                             
