DB SOURCE,TBL mailoperation,TBL mail,TBL mail master,DB DEST,TBL DEST,SRC Field,DST Field,Rules,Override value,Callback parameters,Null handling,Empty handling,Switch Values
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,nome,nome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,cognome,cognome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,ragsoc,ragione_sociale,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,,forma_giuridica,callback|getFormaGiuridica,,tipoazienda,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,tipoazienda,tipo_partita_iva,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,citta,citta,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,provincia,provincia,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,telefono,tel_fisso,copy,,,NULL,NULL,non presente|NULL
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,,cellulare,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,emailpro,email,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,media,editore,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,data,data,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,download,download,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail,mail,la_gestione,lead_uni,token_verified,token_verified,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,name,nome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,surname,cognome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,restown,citta,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,resprovince,provincia,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,,forma_giuridica,,0,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,phonefisso,tel_fisso,copy,,,NULL,NULL,non presente|NULL
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,phone1,cellulare,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,email,email,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,IP,indirizzo_IP,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,media,editore,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,data,data,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,download,download,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,,url,callback|completeURL,,$offertea_cpl$|url,NULL,NULL,
offertea_cpl,mail_operation,mail2,mail2,la_gestione,lead_uni,token_verified,token_verified,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,name,nome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,surname,cognome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,,forma_giuridica,,0,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,restown,citta,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,resprovince,provincia,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,phonefisso,tel_fisso,copy,,,NULL,NULL,non presente|NULL
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,phone1,cellulare,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,email,email,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,IP,indirizzo_IP,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,media,editore,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,code,code,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,,url,callback|completeURL,,$offertea_cpl$|url,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,data,data,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,download,download,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail3,mail3,la_gestione,lead_uni,token_verified,token_verified,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,name,nome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,surname,cognome,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,azienda,ragione_sociale,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,,forma_giuridica,,1,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,restown,citta,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,resprovince,provincia,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,phonefisso,tel_fisso,copy,,,NULL,NULL,non presente|NULL
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,phone1,cellulare,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,email,email,copy,,,NULL,NULL,
offertea_cpl,mail_operation,mail4,mail4,la_gestione,lead_uni,media,editore,copy,,,NULL,NULL,
